,Date,BTC-USD,ETH-USD,LTC-USD,XRP-USD,DOGE-USD,MATIC-USD,LINK-USD,ADA-USD,BNB-USD,TRX-USD,DOT-USD,SOL-USD,ETH-BTC,LTC-BTC,XRP-BTC,DOGE-BTC,MATIC-BTC,LINK-BTC,ADA-BTC,BNB-BTC,TRX-BTC,DOT-BTC,SOL-BTC
24,2014-10-11,361.362,0.0,3.79592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01050448027186035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2014-10-12,362.605988,0.0,3.77658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010415106548102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2014-10-13,377.92099,0.0,3.84644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01017789459114192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2014-10-14,391.691986,0.0,3.86452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00986622177151207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2014-10-15,400.954987,0.0,4.07699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010168198755936662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2014-10-16,394.518005,0.0,4.05774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010285310045608691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2014-10-17,382.756012,0.0,3.99144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01042815755954736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2014-10-18,383.976013,0.0,3.99163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010395519159682507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2014-10-19,391.253998,0.0,4.05643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010367766261138627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2014-10-20,389.230988,0.0,3.98357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01023446262711231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
